global index,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
21787,747915,93718,GRAND STRAND AIRPORT,US,SC,KCRE,33.816,-78.72,9.8,19730101,20201227
21797,747940,12868,COCOA BEACH CAPE KENNEDY AFS,US,FL,KXMR,28.483,-80.567,3.1,19500801,20201227
21802,747950,12867,PATRICK AFB AIRPORT,US,FL,KCOF,28.233,-80.6,2.4,19450301,20201227
21853,749045,99999,SEBRING RGNL,US,FL,KSEF,27.456,-81.342,19.2,19420401,20201226
21973,749173,99999,COOLIDGE MUNI,US,AZ,KP08,32.936,-111.427,479.8,19440711,20201226
22719,785350,11630,NAVAL STATION ROOSEVELT ROADS CEIBA,US,PR,TJNR,18.255,-65.641,10.1,19730101,20201227
22723,785430,11640,CYRIL E KING AIRPORT,US,VI,TIST,18.336,-64.98,6.1,19730101,20201227
24874,911620,22501,BARKING SANDS PACIFIC MISSILE RANGE FAC ARPT,US,HI,PHBK,22.033,-159.783,7.0,19420422,20201227
24878,911650,22536,LIHUE AIRPORT,US,HI,PHLI,21.984,-159.341,30.5,19730101,20201227
24885,911700,22508,WHEELER ARMY AIRFIELD,US,HI,PHHI,21.487,-158.028,257.9,19390601,20201224
24888,911760,22519,KANEOHE MCAS,US,HI,PHNG,21.45,-157.768,7.3,19730101,20201227
24895,911820,22521,HONOLULU INTERNATIONAL AIRPORT,US,HI,PHNL,21.324,-157.929,2.1,19390601,20201227
24901,911900,22516,KAHULUI AIRPORT,US,HI,PHOG,20.9,-156.429,15.5,19730101,20201227
24907,911907,99999,HANA,US,HI,PHHN,20.796,-156.014,23.8,19980201,20201226
24955,912850,21504,HILO INTERNATIONAL AIRPORT,US,HI,PHTO,19.719,-155.053,11.6,19730101,20201227
27210,994060,99999,MT DESERT ROCK  ME,US,ME,,43.97,-68.13,9.1,19850121,20201226
27217,994070,99999,DESTRUCTION IS.  WA,US,WA,,47.68,-124.49,21.3,19850501,20201226
27225,994090,99999,PASSAGE ISLAND  MI,US,MI,,48.22,-88.37,195.4,19850528,20201226
27229,994130,99999,ROCK OF AGES  MI,US,MI,,47.87,-89.31,183.5,19850402,20201226
27230,994140,99999,BUZZARDS BAY  MA,US,MA,,41.4,-71.03,0.0,19850712,20201226
27232,994160,99999,CAPE LOOKOUT  NC,US,NC,,34.62,-76.52,4.6,19850120,20201226
27235,994190,99999,DEVILS ISLAND  WI,US,WI,,47.08,-90.73,191.7,19850501,20201226
27236,994200,99999,STANNARD ROCK  MI,US,MI,,47.18,-87.22,182.9,19850501,20201226
27238,994220,99999,VENICE  FL,US,FL,,27.07,-82.45,0.0,19850622,20201226
27243,994270,99999,ISLE OF SHOALS  NH,US,NH,,42.97,-70.62,13.1,19850501,20201226
27250,994340,99999,SOUTH BASS ISLAND  OH,US,OH,,41.63,-82.84,176.8,19850501,20201226
27261,994450,99999,SOMBRERO KEY  FL,US,FL,,24.63,-81.11,0.0,19880929,20200820
28406,999999,12884,BOOTHVILLE,US,LA,,29.333,-89.408,0.9,19650201,20200618
28422,999999,12946,CORPUS CHRISTI CABANISS NAAS,US,TX,KNGW,27.7,-97.433,9.1,19490201,20201226
28446,999999,13724,ATLANTIC CITY MARINA,US,NJ,,39.378,-74.424,3.1,19480101,20201226
28473,999999,13752,U.S. NAVAL ACADEMY,US,MD,,38.991,-76.489,1.8,19450301,20201227
28798,999999,23122,NORTON AAF,US,CA,KSBD,34.1,-117.25,335.0,19710101,20201227
28858,999999,23271,DOWNTOWN,US,CA,,38.555,-121.418,11.6,19960702,20201226
28859,999999,23272,DOWNTOWN,US,CA,,37.771,-122.427,45.7,19450101,20201226
29375,999999,93804,SPARTANBURG,US,SC,SPA,34.917,-81.95,244.1,19480101,20201227
29383,999999,93816,EFFINGHAM COUNTY MEMORIAL ARPT,US,IL,,39.07,-88.533,178.9,19481201,20201227
29470,999999,94290,WSFO SEATTLE SAND POINT,US,WA,KSEW,47.687,-122.255,18.3,19990802,20201226
